================================================================================
PERSON TRACKING LOG (Part-Based)
================================================================================
Video Start Time: 2025-08-17 21:01:28
Format: [TIMESTAMP] FRAME | ID | STATUS | DETAILS
[21:01:30.327] F000060 | ID_016 | Lost         |  at (424,294)-(564,627)
[21:01:30.360] F000061 | ID_001 | Tracked      | IoU: 1.00 at (890,201)-(982,496)
[21:01:30.360] F000061 | ID_002 | Tracked      | IoU: 0.94 at (429,304)-(630,625)
[21:01:30.360] F000061 | ID_010 | Tracked      | IoU: 0.91 at (523,120)-(576,287)
[21:01:30.360] F000061 | ID_015 | Re-ID        | PartDist: 0.00 at (422,272)-(493,444)
[21:01:30.394] F000062 | ID_001 | Tracked      | IoU: 0.99 at (891,201)-(982,496)
[21:01:30.394] F000062 | ID_002 | Tracked      | IoU: 0.98 at (431,304)-(628,622)
[21:01:30.394] F000062 | ID_010 | Tracked      | IoU: 0.99 at (523,120)-(576,287)
[21:01:30.394] F000062 | ID_015 | Tracked      | IoU: 0.99 at (421,273)-(493,445)
[21:01:30.427] F000063 | ID_001 | Tracked      | IoU: 0.99 at (890,200)-(983,496)
[21:01:30.427] F000063 | ID_002 | Tracked      | IoU: 0.95 at (427,310)-(629,629)
[21:01:30.427] F000063 | ID_010 | Tracked      | IoU: 0.94 at (522,120)-(577,282)
[21:01:30.427] F000063 | ID_015 | Tracked      | IoU: 0.92 at (424,276)-(495,446)
[21:01:30.460] F000064 | ID_001 | Tracked      | IoU: 1.00 at (890,200)-(983,496)
[21:01:30.460] F000064 | ID_002 | Tracked      | IoU: 0.94 at (433,317)-(627,628)
[21:01:30.460] F000064 | ID_010 | Tracked      | IoU: 0.92 at (521,121)-(574,282)
[21:01:30.460] F000064 | ID_015 | Lost         |  at (424,276)-(495,446)
[21:01:30.460] F000064 | ID_017 | New          |  at (578,12)-(621,82)
[21:01:30.494] F000065 | ID_001 | Tracked      | IoU: 0.99 at (890,201)-(982,496)
[21:01:30.494] F000065 | ID_002 | Tracked      | IoU: 0.95 at (431,324)-(627,624)
[21:01:30.494] F000065 | ID_010 | Tracked      | IoU: 0.95 at (521,122)-(573,281)
[21:01:30.494] F000065 | ID_017 | Tracked      | IoU: 0.83 at (574,14)-(618,82)
[21:01:30.527] F000066 | ID_001 | Tracked      | IoU: 1.00 at (889,201)-(982,496)
[21:01:30.527] F000066 | ID_002 | Tracked      | IoU: 0.95 at (431,334)-(626,621)
[21:01:30.527] F000066 | ID_010 | Tracked      | IoU: 0.92 at (521,123)-(575,288)
[21:01:30.527] F000066 | ID_017 | Lost         |  at (574,14)-(618,82)
[21:01:30.560] F000067 | ID_001 | Tracked      | IoU: 0.99 at (889,200)-(983,496)
[21:01:30.560] F000067 | ID_002 | Tracked      | IoU: 0.96 at (435,336)-(624,620)
[21:01:30.560] F000067 | ID_010 | Tracked      | IoU: 0.94 at (521,125)-(576,293)
[21:01:30.560] F000067 | ID_017 | Re-ID        | PartDist: 0.00 at (424,296)-(493,444)
[21:01:30.594] F000068 | ID_001 | Tracked      | IoU: 0.99 at (889,200)-(983,496)
[21:01:30.594] F000068 | ID_002 | Tracked      | IoU: 1.00 at (435,336)-(623,620)
[21:01:30.594] F000068 | ID_010 | Tracked      | IoU: 0.99 at (521,126)-(575,293)
[21:01:30.594] F000068 | ID_017 | Tracked      | IoU: 0.99 at (425,296)-(493,444)
